prefix	section	ddc	lcsh
ANT	ANTIQUES & COLLECTIBLES	700 / 745-749	Antiques; Collectibles
ARC	ARCHITECTURE	720	Architecture
ART	ART	700-770	Art
BIB	BIBLES	220	Bible
BIO	BIOGRAPHY & AUTOBIOGRAPHY	920 / B	Biography
BUS	BUSINESS & ECONOMICS	330 / 650	Business; Economics
CGN	COMICS & GRAPHIC NOVELS	741.5	Comic books, strips, etc.; Graphic novels
COM	COMPUTERS	004-006	Computers; Computer science
CKB	COOKING	641.5	Cooking
CRA	CRAFTS & HOBBIES	745-749	Handicraft; Hobbies
DES	DESIGN	745.4 / 760	Design
DRA	DRAMA	800 / 812-822	Drama; Theater
EDU	EDUCATION	370	Education
FAM	FAMILY & RELATIONSHIPS	306.8 / 640	Families; Interpersonal relations
FIC	FICTION	800 / Fic	Fiction
GAM	GAMES & ACTIVITIES	790-799	Games; Amusements
GAR	GARDENING	635	Gardening
HEA	HEALTH & FITNESS	613 / 615	Health; Physical fitness
HIS	HISTORY	900-999	History
HOM	HOUSE & HOME	640-649	Home economics; Dwellings
HUM	HUMOR	817 / 818	Humor; Wit and humor
JUV	JUVENILE FICTION	Fic / [E] / [Fic]	Children's stories; Juvenile fiction
JNF	JUVENILE NONFICTION	000-999 (juv)	Juvenile literature
LAN	LANGUAGE ARTS & DISCIPLINES	400-499 / 800	Language and languages; Literature
LCO	LITERARY COLLECTIONS	800-899	Literature—Collections
LIT	LITERARY CRITICISM	800-899	Criticism; Literature—History and criticism
MAT	MATHEMATICS	510	Mathematics
MED	MEDICAL	610	Medicine
MUS	MUSIC	780	Music
NAT	NATURE	500-590	Nature; Natural history
OCC	BODY, MIND & SPIRIT	130 / 200	Occultism; Mind and body
PER	PERFORMING ARTS	790-792	Performing arts
PET	PETS	636	Pets
PHI	PHILOSOPHY	100-199	Philosophy
PHO	PHOTOGRAPHY	770	Photography
POE	POETRY	811 / 821	Poetry
POL	POLITICAL SCIENCE	320	Political science; Politics
PSY	PSYCHOLOGY	150	Psychology
REF	REFERENCE	000-099	Reference books; Encyclopedias and dictionaries
REL	RELIGION	200-299	Religion
SCI	SCIENCE	500-599	Science
SEL	SELF-HELP	158 / 646.7	Self-help techniques; Self-actualization (Psychology)
SOC	SOCIAL SCIENCE	300-399	Social sciences; Sociology
SPO	SPORTS & RECREATION	796	Sports; Recreation
STU	STUDY AIDS	371.3	Study skills
TEC	TECHNOLOGY & ENGINEERING	600-699	Technology; Engineering
TRA	TRANSPORTATION	380 / 620-629	Transportation
TRV	TRAVEL	910	Travel; Guidebooks
TRU	TRUE CRIME	364	Crime; True crime stories
YAF	YOUNG ADULT FICTION	Fic (YA)	Young adult fiction
YAN	YOUNG ADULT NONFICTION	000-999 (YA)	Young adult literature
NON	NON-CLASSIFIABLE	—	—
